lmdb 0.9.29-1
lsb-release 2.0.r48.3cf5103-1
lsof 4.96.3-1
luajit 2.1.0.beta3.r439.g633f265f-1
luit 20220111-1
lutris 0.5.11-1
lv2 1.18.10-1
lvm2 2.03.16-2
lxappearance 0.6.3-4
lxappearance-obconf 0.2.3-3
lxsession 1:0.5.5-1
lz4 1:1.9.4-1
lzo 2.10-3
lzop 1.04-3
m4 1.4.19-1
make 4.3-3
man-db 2.10.2-1
mangohud 0.6.8-2
mangohud-common 0.6.8-2
md4c 0.4.8-1
mdadm 4.2-2
media-player-info 24-2
mesa 22.1.7-1
mesa-utils 8.5.0-2
meson 0.63.2-1
metis 5.1.0.p10-2
milou 5.25.5-1
minizip 1:1.2.12-2
mkinitcpio 31-3
mkinitcpio-busybox 1.35.0-1
mobile-broadband-provider-info 20220725-1
mpc 0.34-2
mpfr 4.1.0.p13-3
mpg123 1.30.2-1
mpv 1:0.34.1-5
mtdev 1.1.6-2
mtools 1:4.0.41-1
mujs 1.2.0-2
multipath-tools 0.9.1-1
mypaint-brushes1 1.3.1-1
nano 6.4-1
ncurses 6.3-3
ndctl 74-1
neofetch 7.1.0-2
netpbm 10.73.37-2
nettle 3.8.1-1
networkmanager 1.40.0-1
networkmanager-qt 5.98.0-1
ninja 1.11.1-1
nitrogen 1.6.1-4
nlohmann-json 3.11.2-1
node-gyp 9.1.0-1
nodejs 18.9.1-1
nodejs-nopt 6.0.0-1
noto-fonts 20220607-1
npm 8.19.2-1
npth 1.6-3
nspr 4.35-1
nss 3.83-1
ntfs-3g 2022.5.17-1
ntp 4.2.8.p15-1
numactl 2.0.15-1
obmenu-generator 0.91-1
ocl-icd 2.3.1-1
ocs-url 3.1.0-7
okular 22.08.1-1
openal 1.22.2-1
openbox 3.6.1-8
openbsd-netcat 1.218_5-1
opencore-amr 0.1.6-1
openexr 3.1.5-1
openjpeg2 2.5.0-1
openmpi 4.1.4-2
openpmix 4.2.0-1
openssh 9.0p1-1
openssl 1.1.1.q-1
opus 1.3.1-3
orc 0.4.32-1
os-prober 1.81-1
osinfo-db 20220830-1
ostree 2022.5-4
oxygen 5.25.5-1
oxygen-sounds 5.25.5-1
p11-kit 0.24.1-1
p7zip 1:17.04-3
pacman 6.0.1-7
pacman-contrib 1.7.1-1
pacman-mirrorlist 20220828-1
pahole 1:1.23-1
pam 1.5.2-1
pambase 20211210-1
pango 1:1.50.10-1
pangomm 2.46.2-1
parcellite 1.2.1-4
parted 3.5-1
patch 2.7.6-8
pavucontrol 1:5.0+r61+gee77d86-2
pciutils 3.8.0-2
pcre 8.45-2
pcre2 10.40-2
perl 5.36.0-1
perl-cairo-gobject 1.004-12
perl-data-dump 1.25-3
perl-error 0.17029-4
perl-glib-object-introspection 0.049-3
perl-gtk3 0.038-2
perl-linux-desktopfiles 0.25-2
perl-locale-gettext 1.07-12
perl-mailtools 2.21-6
perl-timedate 2.33-4
phodav 2.5-2
phonon-qt5 4.11.1-3
phonon-qt5-gstreamer 4.10.0-3
picom-git 1764_9.rc1.86.g5ac8b7f_2022.09.18-1
pinentry 1.2.0-1
pipewire 1:0.3.58-1
pipewire-media-session 1:0.4.1-2
pixman 0.40.0-2
pkgconf 1.8.0-1
plasma-framework 5.98.0-1
plasma-integration 5.25.5-2
plasma-workspace 5.25.5-3
playerctl 2.4.1-2
polkit 121-1
